
VMK_ReturnStatus table for VMware ESX, Build #19195723
Name                                        Dec          Hex           errno equiv     Description
VMK_FT_NOT_RUNNING                          195887398    0xbad0126     EINVAL          FT vm is not enabled
VMK_LICENSE_MISMATCH                        195887399    0xbad0127     EINVAL          Incompatible licenses detected
VMK_ELF_UNKNOWN_RELOCATIONS                 195887400    0xbad0128     EINVAL          ELF file contains invalid relocation types
VMK_MESSAGE_TOO_LONG                        195887401    0xbad0129     EMSGSIZE        Message too long
VMK_INVALID_NAMESPACE                       195887402    0xbad012a     ENOENT          Invalid or missing namespace
VMK_SHUTTING_DOWN                           195887403    0xbad012b     EINVAL          Operation not allowed because the VMKernel is shutting down
VMK_SKIPPED_FREE                            195887404    0xbad012c     EINVAL          Skipped freeing of resource with no reference
VMK_VMFS_ABORTED                            195887405    0xbad012d     ECANCELED       IO was aborted by VMFS via a virt-reset on the device
VMK_NO_WRITE_ON_TARDISKS                    195887406    0xbad012e     EPERM           Write not allowed on tardisks
VMK_SVM_IO_RETRY                            195887407    0xbad012f     EBUSY           Re-issue IO at a later time
VMK_MODULE_NO_LICENSE                       195887408    0xbad0130     ENOENT          Module does not provide a license tag
VMK_MODULE_UNKNOWN_LICENSE                  195887409    0xbad0131     ENOENT          Module provides an unknown license tag
VMK_PERM_DEV_LOSS                           195887410    0xbad0132     EIO             Device is permanently unavailable
VMK_SE_IO_RETRY                             195887411    0xbad0133     EBUSY           Reissue IO at a later time for SE disks
VMK_BAD_ADDR_SPACE                          195887412    0xbad0134     EINVAL          Address space type is not supported for operation
VMK_DMA_MAPPING_FAILED                      195887413    0xbad0135     EINVAL          DMA mapping could not be completed
VMK_RESERVATION_GT_LIMIT                    195887414    0xbad0136     EINVAL          Memory pool reservation is greater than limit
VMK_MODULE_NONAMESPACE                      195887415    0xbad0137     ENOENT          Module tried to export a symbol but didn't provide a name space
VMK_FS_OBJECT_UNLINKED                      195887416    0xbad0138     EINVAL          File system object is unlinked
VMK_HBR_WIRE_INSTANCE_ABORTED               195887417    0xbad0139     ECANCELED       Replication instance was aborted
VMK_HBR_WIRE_NEED_FULL_SYNC                 195887418    0xbad013a     EINVAL          Replicated disk needs full synchronization
VMK_HBR_WIRE_DISK_SET_MISMATCH              195887419    0xbad013b     EINVAL          The set of disks on the replication server doesn't match
VMK_HBR_WIRE_REQUEST_CHECKSUM_MISMATCH      195887420    0xbad013c     EINVAL          The checksum for the replication request was invalid
VMK_HBR_WIRE_RESPONSE_CHECKSUM_MISMATCH     195887421    0xbad013d     EINVAL          The checksum for the replication response was invalid
VMK_HBR_WIRE_GROUP_REMOVED                  195887422    0xbad013e     ENOENT          The replication group was removed on the server side
VMK_HBR_WIRE_GROUP_SESSION_REVOKED          195887423    0xbad013f     EEXIST          A newer client for this group is connected to the replication server
VMK_HBR_WIRE_PROTOCOL_CORRUPTED             195887424    0xbad0140     EINVAL          Corrupt response from replication server
VMK_PORTSET_HANDLE_NOT_MUTABLE              195887425    0xbad0141     EINVAL          Portset handle is not mutable
VMK_SUSPEND_IO                              195887426    0xbad0142     EINVAL          Suspend the IO in question
VMK_NO_WORKING_PATHS                        195887427    0xbad0143     EINVAL          No working paths to select
VMK_EPROTOTYPE                              195887428    0xbad0144     EPROTOTYPE      Invalid protocol for connection
VMK_MODULE_CONSUMED_RESOURCE_COUNT_NOT_ZERO 195887429    0xbad0145     EBUSY           Consumed resource count of module is not zero
VMK_HBR_SERVER_DOES_NOT_SUPPORT_REQUEST     195887430    0xbad0146     EOPNOTSUPP      vSphere Replication Server does not support request
VMK_STALE_FILEHANDLE                        195887431    0xbad0147     ESTALE          Stale file handle
VMK_VVOL_UNBOUND                            195887432    0xbad0148     ENODEV          Virtual volume is not bound
VMK_DEVICE_NOT_READY_FAIL_OPEN              195887433    0xbad0149     EPERM           Device open failed with no-retry
VMK_NOT_THIS_DEVICE                         195887434    0xbad014a     EINVAL          Not for this device
VMK_IGNORE                                  195887435    0xbad014b     EINVAL          Ignore
VMK_OBJECT_DESTROYED                        195887436    0xbad014c     EINVAL          Object is being or has been destroyed
VMK_VVOL_PE_NOT_READY                       195887437    0xbad014d     EAGAIN          Protocol Endpoint not ready for I/O to given secondary level ID
VMK_SCSI_PI_GUARD_ERROR                     195887438    0xbad014e     EIO             T10 PI GUARD tag check failed
VMK_SCSI_PI_REF_ERROR                       195887439    0xbad014f     EIO             T10 PI REF tag check failed
VMK_RES_META_STALE                          195887440    0xbad0150     EAGAIN          Cached resource metadata is stale
VMK_NOT_PINNED                              195887441    0xbad0151     ENOENT          Page is not pinned
VMK_BAD_SWAP_SCOPE                          195887442    0xbad0152     EINVAL          Incorrect swap scope
VMK_CONSUMED_GT_ZERO                        195887443    0xbad0153     EINVAL          Consumed memory is more than zero
VMK_LOCK_HELD_BY_ZOMBIE_TXN                 195887444    0xbad0154     EBUSY           Lock held by a transaction in progress
VMK_HBR_WIRE_FILE_IDENTICAL                 195887445    0xbad0155     EEXIST          The file being sent already exists and is identical
VMK_VOL_ALREADY_MOUNTED                     195887446    0xbad0156     EBUSY           The volume is already mounted
VMK_NO_VOLUMES                              195887447    0xbad0157     ENOMEM          Out of volumes
VMK_SB_NOT_FOUND                            195887448    0xbad0158     ENOENT          Super block not found
VMK_NO_PMEM                                 195887449    0xbad0159     ENOMEM          Out of persistent memory
VMK_OTHER                                   195887450    0xbad015a     EINPROGRESS     Another operation is in progress
VMK_CANNOT_SHRINK                           195887451    0xbad015b     EPERM           Shrinking is not allowed
VMK_NOT_A_BASE                              195887452    0xbad015c     EPERM           Not a base disk
VMK_HAS_SNAPSHOTS                           195887453    0xbad015d     ECHILD          Disk has snapshots
VMK_LOCK_DROPPED                            195887454    0xbad015e     EAGAIN          Lock was dropped during function call
VMK_PMEM_CORRUPTED                          195887455    0xbad015f     EIO             Persistent memory datastore is corrupt
VMK_PMEM_DATA_CORRUPTED                     195887456    0xbad0160     EIO             Persistent memory data block is corrupt
VMK_LAST_ERR                                195887457    0xbad0161     EINVAL          Invalid error code
VMK_GENERIC_LINUX_ERROR                     732758016    0x2bad0000    EIO             Generic service console error

